id,Running time,Actors Box Office %,Director Box Office %,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,Release year,IMDb score,genre_encoded,AdjBudget,AdjEarnings,AdjBoxOffice,Director_mean_target
173,119,33.33,0.0,0,0.0,2010,6.4,7,60536674.065377705,38193138.00124739,98729812.06662509,6.455744520030233
174,86,100.0,100.0,0,0.0,2012,7.5,6,235204.64384957796,810149.3288152129,1045353.9726647909,6.639077853363567
175,122,66.67,33.33,0,0.0,2015,5.3,7,10126151.288726127,-7088305.902108288,3037845.386617838,6.141808390022675
176,131,33.33,80.0,0,0.0,2001,5.9,7,77246747.60022587,4065618.29474873,81312365.89497459,6.623446712018139
177,100,77.0,50.0,0,0.0,2013,5.9,7,30907892.872933637,55634207.17128054,86542100.04421417,6.470496346686822
178,106,50.0,100.0,0,0.0,2011,6.3,2,213397409.96447927,372378480.38801634,585775890.3524956,6.923446712018139
179,91,33.33,0.0,0,0.0,2004,5.2,4,22869910.005293805,-1270550.555849656,21599359.449444152,6.1763524457402
180,87,66.67,50.0,0,0.0,2001,5.2,0,81312365.89497459,193794472.04968944,275106837.94466406,5.6763524457402
181,82,66.67,66.67,0,0.0,2010,4.3,0,93556678.10103828,29718003.63209451,123274681.73313278,6.0668083900226755
182,75,52.22,33.33,0,0.0,1997,6.9,2,47851862.92834891,-17944448.59813084,29907414.330218066,6.541808390022675
183,87,36.11,0.0,0,0.0,2004,3.3,0,127055055.58496559,-22869910.005293805,104185145.57967179,5.939077853363567
184,113,0.0,28.57,0,0.0,1998,6.3,4,17669226.99386503,-10307049.0797546,7362177.91411043,6.893633350776208
185,94,16.67,33.33,0,0.0,2004,6.5,0,31763763.896241397,8893853.890947592,40657617.78718899,5.948587920016492
186,107,83.33,100.0,0,0.0,2016,6.6,0,50000000.0,167000000.0,217000000.0,6.579308390022675
187,107,44.0,50.0,0,0.0,1996,5.6,0,76484066.28425749,16061653.919694073,92545720.20395157,6.481607457797933
188,95,16.67,0.0,0,0.0,1998,2.3,4,14724355.82822086,-1472435.5828220858,13251920.245398773,5.7724111866969
189,91,88.89,66.67,0,0.0,2002,6.5,12,60035102.834908284,66038613.11839911,126073715.9533074,6.541808390022675
190,120,88.89,100.0,0,0.0,2015,6.9,0,49618141.31475802,53668601.83024847,103286743.1450065,6.729308390022675
191,99,33.33,25.0,0,0.0,2010,6.5,7,48429339.25230216,0.0,48429339.25230216,6.4482741244646
192,94,33.33,50.0,0,0.0,2000,5.5,0,128226736.35307783,239728246.22531942,367954982.5783972,6.2576788291074
193,94,100.0,87.5,0,0.0,2005,5.4,1,73734869.43164362,86024014.33691755,159758883.76856118,6.156497470783185
194,94,83.33,91.67,0,0.0,2003,5.8,4,52175434.7826087,195657880.43478262,247833315.21739134,6.208404195011338
195,81,72.22,33.33,0,0.0,2005,5.8,2,184337173.57910904,202770890.93701994,387108064.516129,6.541808390022675
196,137,33.33,50.0,0,0.0,2015,6.4,5,50630756.44363063,-36555406.15230132,14075350.291329315,6.504923874311629
